source_id,company,ticker,event_title,fiscal_period,event_date,source_family,layout_type,video_url,transcript_url,transcript_source_type,video_source_type,has_prepared_remarks,has_qa,language,face_visibility_expectation,notes,status,license_or_usage_notes
msft_fy26_q2_example,Microsoft,MSFT,Microsoft FY26 Q2 results,FY26_Q2,2026-01-28,official_investor_relations,single_speaker_with_slides,https://example.com/earnings/microsoft-fy26-q2/video,https://example.com/earnings/microsoft-fy26-q2/transcript,no_transcript_yet,official_webcast,true,true,en,medium,Template example row only. Source URLs are placeholders and not verified in this repo.,template_example,Review source terms before collection or redistribution.
nvda_quarterly_results_example,NVIDIA,NVDA,NVIDIA quarterly results,UNKNOWN,2026-02-26,official_investor_relations,single_speaker_with_slides,https://example.com/earnings/nvidia-quarterly-results/video,https://example.com/earnings/nvidia-quarterly-results/transcript,no_transcript_yet,official_webcast,true,true,en,medium,Template example row only. Fiscal period should be confirmed during collection.,template_example,Review source terms before collection or redistribution.
bac_q4_2025_example,Bank of America,BAC,Bank of America Q4 2025 results,Q4_2025,2026-01-16,official_investor_relations,multi_speaker_grid,https://example.com/earnings/bank-of-america-q4-2025/video,https://example.com/earnings/bank-of-america-q4-2025/transcript,no_transcript_yet,official_webcast,true,true,en,medium,Template example row only. Banking webcasts may rotate speakers frequently.,template_example,Review source terms before collection or redistribution.
dis_q1_fy26_example,The Walt Disney Company,DIS,Disney Q1 FY26 results,FY26_Q1,2026-02-05,official_investor_relations,single_speaker_with_slides,https://example.com/earnings/disney-q1-fy26/video,https://example.com/earnings/disney-q1-fy26/transcript,no_transcript_yet,official_webcast,true,true,en,medium,Template example row only.,template_example,Review source terms before collection or redistribution.
dis_q4_fy25_example,The Walt Disney Company,DIS,Disney Q4 FY25 results,FY25_Q4,2025-11-13,official_investor_relations,single_speaker_with_slides,https://example.com/earnings/disney-q4-fy25/video,https://example.com/earnings/disney-q4-fy25/transcript,no_transcript_yet,official_webcast,true,true,en,medium,Template example row only.,template_example,Review source terms before collection or redistribution.
hsbc_results_example,HSBC Holdings,HSBC,HSBC results,UNKNOWN,2026-02-19,official_results_page,slides_only,https://example.com/earnings/hsbc-results/video,https://example.com/earnings/hsbc-results/transcript,no_transcript_yet,official_webcast,true,true,en,low,Template example row only. Results pages may surface slides-first or webcast-hub layouts.,template_example,Review source terms before collection or redistribution.
astrazeneca_results_example,AstraZeneca,AZN,AstraZeneca results,UNKNOWN,2026-02-06,official_results_page,single_speaker_with_slides,https://example.com/earnings/astrazeneca-results/video,https://example.com/earnings/astrazeneca-results/transcript,no_transcript_yet,official_webcast,true,true,en,medium,Template example row only. Confirm language and layout during collection.,template_example,Review source terms before collection or redistribution.
sbux_prepared_remarks_example,Starbucks,SBUX,Starbucks investor/prepared remarks,UNKNOWN,2025-10-30,official_youtube,slides_only,https://example.com/earnings/starbucks-prepared-remarks/video,https://example.com/earnings/starbucks-prepared-remarks/transcript,prepared_remarks_only,official_youtube,true,false,en,low,Template example row only. Planned as a prepared-remarks-only source candidate.,template_example,Review source terms before collection or redistribution.
goog_q1_2025_example,Alphabet,GOOGL,Alphabet Q1 2025 results,Q1_2025,2025-04-24,official_youtube,single_speaker_with_slides,https://example.com/earnings/alphabet-q1-2025/video,https://example.com/earnings/alphabet-q1-2025/transcript,no_transcript_yet,official_youtube,true,true,en,medium,Template example row only.,template_example,Review source terms before collection or redistribution.
goog_q4_2025_example,Alphabet,GOOGL,Alphabet Q4 2025 results,Q4_2025,2026-02-04,official_youtube,single_speaker_with_slides,https://example.com/earnings/alphabet-q4-2025/video,https://example.com/earnings/alphabet-q4-2025/transcript,no_transcript_yet,official_youtube,true,true,en,medium,Template example row only.,template_example,Review source terms before collection or redistribution.
apple_q1_2025_example,Apple,AAPL,Apple Q1 2025 results,Q1_2025,2025-01-30,official_investor_relations,audio_only,https://example.com/earnings/apple-q1-2025/audio,https://example.com/earnings/apple-q1-2025/transcript,no_transcript_yet,audio_only,true,true,en,unknown,Template example row only. Audio-first investor relations event placeholder.,template_example,Review source terms before collection or redistribution.
amzn_q4_2024_example,Amazon,AMZN,Amazon Q4 2024 results,Q4_2024,2025-02-06,official_investor_relations,audio_only,https://example.com/earnings/amazon-q4-2024/audio,https://example.com/earnings/amazon-q4-2024/transcript,no_transcript_yet,audio_only,true,true,en,unknown,Template example row only. Audio-first investor relations event placeholder.,template_example,Review source terms before collection or redistribution.
